"CallID","EmployeeID","CallDate","CallType","CurrentCustomer","Territory","CompanyType","EstimatedCompanyRev","FlaggedForCallBack","CallDuration","Score"
"CID.1","REP-16","2014-09-23","Product Information","yes","Midwest","Govt","10-25","No",2310,0.132883332902566
"CID.2","REP-5","2014-05-24","Product Information","yes","Midwest","None","1-5","No",1050,0.425705212401226
"CID.3","REP-16","2015-04-02","Pricing","no","West","Retail","10-25","No",2520,0.215741933789104
"CID.4","REP-34","2015-04-13","Billing","yes","West","Utility","10-25","No",1000,0.534359942190349
"CID.5","REP-14","2014-10-18","Product Information","yes","West","Govt","10-25","Yes",1090,0.514473243383691
"CID.6","REP-16","2014-11-23","Pricing","no","West","Tech","<1","No",1010,0.697510222671553
"CID.7","REP-18","2014-07-06","MISC","yes","Midwest","Utility","<1","No",2510,0.852423538453877
"CID.8","REP-2","2015-02-10","MISC","yes","Midwest","Sales","6-10","No",800,0.396863090340048
"CID.9","REP-4","2014-10-28","Pricing","yes","West","Utility","25-50","No",420,0.822128156200051
"CID.10","REP-26","2014-12-16","Product Information","no","Midwest","Academic","50+","No",2870,0.736778770340607
"CID.11","REP-21","2015-02-13","MISC","yes","West","Sales","<1","No",1590,0.218824944691733
"CID.12","REP-32","2015-04-06","Pricing","no","Midwest","Utility","10-25","No",990,0.690334898419678
"CID.13","REP-32","2014-09-09","Product Information","no","East","Retail","6-10","No",3560,0.543414172949269
"CID.14","REP-18","2014-05-31","Pricing","yes","East","Sales","10-25","No",40,0.740879147313535
"CID.15","REP-29","2014-11-28","Product Information","yes","West","Academic","1-5","No",720,0.327821148559451
"CID.16","REP-22","2014-06-03","Tech Question","yes","Midwest","Retail","6-10","No",2210,0.224146329797804
"CID.17","REP-20","2014-08-01","MISC","no","East","Tech","10-25","No",2950,0.218637332087383
"CID.18","REP-22","2015-01-26","Billing","yes","East","Utility","25-50","No",430,0.104827745817602
"CID.19","REP-12","2014-06-12","Pricing","yes","East","Utility","50+","No",2280,0.573975527891889
"CID.20","REP-29","2015-03-05","Pricing","no","West","Utility","6-10","No",1970,0.330879235174507
"CID.21","REP-1","2014-09-11","Product Information","no","Midwest","None","25-50","No",360,0.632334324996918
"CID.22","REP-27","2015-03-25","Tech Question","yes","East","Academic","10-25","No",530,0.899197821039706
"CID.23","REP-7","2014-10-07","Pricing","no","Midwest","Sales","50+","No",2640,0.74067930970341
"CID.24","REP-5","2015-04-30","Pricing","no","Midwest","Utility","1-5","No",110,0.766932541271672
"CID.25","REP-34","2015-01-07","Tech Question","yes","Midwest","Govt","6-10","No",1890,0.0375683521851897
"CID.26","REP-31","2015-01-16","Billing","yes","Midwest","None","6-10","No",2080,0.0050068530254066
"CID.27","REP-30","2015-02-03","Tech Question","yes","Midwest","None","25-50","No",3820,0.593901053536683
"CID.28","REP-14","2014-09-24","Product Information","no","East","Sales","6-10","No",560,0.525294333696365
"CID.29","REP-8","2015-03-25","Pricing","no","Midwest","Academic","50+","No",2160,0.32612314610742
"CID.30","REP-4","2014-12-15","Product Information","no","East","Utility","10-25","No",3420,0.853427227120847
"CID.31","REP-18","2015-05-12","Pricing","yes","Midwest","Utility","10-25","No",3210,0.300080335466191
"CID.32","REP-10","2015-04-04","MISC","no","Midwest","Tech","6-10","Yes",1420,0.0896795503795147
"CID.33","REP-7","2015-04-03","Tech Question","no","Midwest","Tech","10-25","No",3400,0.494272474898025
"CID.34","REP-29","2015-02-22","Tech Question","no","Midwest","Tech","25-50","Yes",3430,0.595794158289209
"CID.35","REP-19","2014-06-19","Tech Question","no","East","None","10-25","No",1260,0.252758509246632
"CID.36","REP-3","2015-03-19","MISC","yes","East","None","10-25","No",2610,0.356749682920054
"CID.37","REP-27","2015-03-24","Tech Question","yes","West","Academic","10-25","No",50,0.992860088357702
"CID.38","REP-34","2014-06-07","MISC","no","Midwest","Retail","<1","No",1350,0.56042117299512
"CID.39","REP-7","2014-12-09","Pricing","yes","Midwest","Govt","10-25","No",1000,0.664647657424212
"CID.40","REP-8","2014-08-11","Pricing","no","Midwest","None","<1","No",1890,0.823863123776391
"CID.41","REP-6","2014-08-16","Product Information","yes","Midwest","None","6-10","No",3400,0.487907137954608
"CID.42","REP-25","2014-10-24","MISC","yes","West","Retail","6-10","No",2700,0.887450379319489
"CID.43","REP-18","2014-10-31","Billing","yes","East","Utility","10-25","Yes",1040,0.54259410337545
"CID.44","REP-5","2014-08-02","Tech Question","no","Midwest","Academic","10-25","No",400,0.857376408530399
"CID.45","REP-13","2015-03-19","Product Information","no","East","Utility","10-25","No",3530,0.630360007518902
"CID.46","REP-11","2015-03-08","Pricing","yes","Midwest","Utility","25-50","No",2750,0.286570839118212
"CID.47","REP-7","2015-03-01","MISC","no","Midwest","Tech","10-25","No",1360,0.814817541511729
"CID.48","REP-14","2014-08-18","Product Information","no","West","Tech","10-25","No",310,0.379485464654863
"CID.49","REP-4","2014-10-12","MISC","no","Midwest","Tech","50+","No",2460,0.765804680297151
"CID.50","REP-5","2014-10-06","Product Information","yes","East","Retail","<1","No",3450,0.422762638889253
"CID.51","REP-20","2015-03-14","MISC","no","East","None","6-10","No",1640,0.0808830130845308
"CID.52","REP-6","2014-12-23","Billing","no","West","Tech","10-25","No",3350,0.652554431697354
"CID.53","REP-18","2014-09-15","Pricing","yes","West","Academic","10-25","No",3920,0.933356927940622
"CID.54","REP-35","2014-07-17","Pricing","no","Midwest","Govt","<1","No",300,0.631119320401922
"CID.55","REP-10","2014-08-30","Product Information","no","West","Sales","10-25","No",3340,0.330612496705726
"CID.56","REP-14","2015-02-11","Pricing","no","East","Retail","6-10","No",970,0.679971765726805
"CID.57","REP-9","2014-11-18","Product Information","no","Midwest","Tech","10-25","No",2240,0.393154832534492
"CID.58","REP-19","2015-01-01","Product Information","yes","Midwest","Sales","50+","No",3420,0.636909940978512
"CID.59","REP-34","2014-11-15","Product Information","no","Midwest","Tech","6-10","No",2660,0.46474121673964
"CID.60","REP-31","2015-02-24","MISC","yes","Midwest","Sales","<1","Yes",1050,0.498173859901726
"CID.61","REP-33","2015-05-07","Pricing","no","West","Sales","10-25","No",3080,0.0632325825281441
"CID.62","REP-20","2014-12-10","MISC","yes","West","None","10-25","No",1140,0.179391243727878
"CID.63","REP-9","2015-02-03","Pricing","no","West","Retail","25-50","No",3120,0.262836190871894
"CID.64","REP-35","2014-11-30","Tech Question","yes","West","Academic","25-50","No",3310,0.791293282294646
"CID.65","REP-12","2014-05-26","Tech Question","yes","Midwest","Govt","25-50","No",1100,0.38628928666003
